DATE,COprice
1/1/1995,16.9
2/1/1995,17.42
3/1/1995,17.35
4/1/1995,18.65
5/1/1995,18.42
6/1/1995,17.36
7/1/1995,16.08
8/1/1995,16.47
9/1/1995,16.82
10/1/1995,16.12
11/1/1995,16.74
12/1/1995,17.87
1/1/1996,17.8
2/1/1996,17.7
3/1/1996,19.4
4/1/1996,20.66
5/1/1996,19.06
6/1/1996,18.51
7/1/1996,19.59
8/1/1996,20.44
9/1/1996,22.26
10/1/1996,23.61
11/1/1996,22.39
12/1/1996,23.62
1/1/1997,23.23
2/1/1997,20.42
3/1/1997,19.33
4/1/1997,17.88
5/1/1997,19.37
6/1/1997,17.92
7/1/1997,18.33
8/1/1997,18.7
9/1/1997,18.66
10/1/1997,20.04
11/1/1997,19.09
12/1/1997,17.09
1/1/1998,15
2/1/1998,14.1
3/1/1998,13.12
4/1/1998,13.5
5/1/1998,14.03
6/1/1998,12.48
7/1/1998,12.7
8/1/1998,12.49
9/1/1998,13.8
10/1/1998,13.26
11/1/1998,11.88
12/1/1998,10.41
1/1/1999,11.44
2/1/1999,10.75
3/1/1999,13.17
4/1/1999,15.87
5/1/1999,16.06
6/1/1999,16.39
7/1/1999,18.99
8/1/1999,20.27
9/1/1999,22.7
10/1/1999,21.95
11/1/1999,24.16
12/1/1999,25.1
1/1/2000,25.31
2/1/2000,27.22
3/1/2000,27.49
4/1/2000,23.47
5/1/2000,27.19
6/1/2000,29.62
7/1/2000,28.18
8/1/2000,29.26
9/1/2000,32.08
10/1/2000,31.4
11/1/2000,32.33
12/1/2000,25.2
1/1/2001,25.96
2/1/2001,27.24
3/1/2001,25.02
4/1/2001,25.72
5/1/2001,27.55
6/1/2001,26.97
7/1/2001,24.8
8/1/2001,25.82
9/1/2001,25.21
10/1/2001,20.73
11/1/2001,18.69
12/1/2001,18.52
1/1/2002,19.15
2/1/2002,19.98
3/1/2002,23.64
4/1/2002,25.43
5/1/2002,25.67
6/1/2002,24.49
7/1/2002,25.75
8/1/2002,26.78
9/1/2002,28.28
10/1/2002,27.53
11/1/2002,24.54
12/1/2002,27.89
1/1/2003,30.75
2/1/2003,32.88
3/1/2003,30.36
4/1/2003,25.56
5/1/2003,26.06
6/1/2003,27.92
7/1/2003,28.59
8/1/2003,29.68
9/1/2003,26.88
10/1/2003,29.01
11/1/2003,29.12
12/1/2003,29.97
1/1/2004,31.37
2/1/2004,31.33
3/1/2004,33.67
4/1/2004,33.71
5/1/2004,37.56
6/1/2004,35.54
7/1/2004,37.89
8/1/2004,42.08
9/1/2004,41.6
10/1/2004,46.88
11/1/2004,42.13
12/1/2004,39.04
1/1/2005,42.97
2/1/2005,44.82
3/1/2005,50.94
4/1/2005,50.64
5/1/2005,47.83
6/1/2005,53.89
7/1/2005,56.37
8/1/2005,61.89
9/1/2005,61.69
10/1/2005,58.19
11/1/2005,55.04
12/1/2005,56.43
1/1/2006,62.46
2/1/2006,59.7
3/1/2006,60.93
4/1/2006,67.97
5/1/2006,68.68
6/1/2006,68.29
7/1/2006,72.45
8/1/2006,71.81
9/1/2006,62.12
10/1/2006,57.91
11/1/2006,58.14
12/1/2006,60.99
1/1/2007,53.52
2/1/2007,57.56
3/1/2007,60.6
4/1/2007,65.06
5/1/2007,65.16
