DATE,Oprice
1/1/1995,1.1072
2/1/1995,1.099
3/1/1995,1.099
4/1/1995,1.143
5/1/1995,1.2128
6/1/1995,1.22625
7/1/1995,1.1886
8/1/1995,1.16075
9/1/1995,1.148
10/1/1995,1.1216
11/1/1995,1.0975
12/1/1995,1.10475
1/1/1996,1.1228
2/1/1996,1.12075
3/1/1996,1.1685
4/1/1996,1.2586
5/1/1996,1.3015
6/1/1996,1.2815
7/1/1996,1.2538
8/1/1996,1.238
9/1/1996,1.238
10/1/1996,1.24275
11/1/1996,1.27325
12/1/1996,1.2726
1/1/1997,1.27025
2/1/1997,1.26325
3/1/1997,1.237
4/1/1997,1.22775
5/1/1997,1.229
6/1/1997,1.2266
7/1/1997,1.20575
8/1/1997,1.25025
9/1/1997,1.2542
10/1/1997,1.22175
11/1/1997,1.19775
12/1/1997,1.1586
1/1/1998,1.115
2/1/1998,1.082
3/1/1998,1.0546
4/1/1998,1.064
5/1/1998,1.08825
6/1/1998,1.086
7/1/1998,1.07775
8/1/1998,1.049
9/1/1998,1.03275
10/1/1998,1.04525
11/1/1998,1.02
12/1/1998,0.96375
1/1/1999,0.957
2/1/1999,0.94
3/1/1999,1.0002
4/1/1999,1.1365
5/1/1999,1.1426
6/1/1999,1.13425
7/1/1999,1.177
8/1/1999,1.2374
9/1/1999,1.279
10/1/1999,1.27075
11/1/1999,1.2804
12/1/1999,1.3015
1/1/2000,1.3186
2/1/2000,1.40875
3/1/2000,1.5375
4/1/2000,1.47625
5/1/2000,1.4956
6/1/2000,1.645
7/1/2000,1.5678
8/1/2000,1.4795
9/1/2000,1.56175
10/1/2000,1.546
11/1/2000,1.53275
12/1/2000,1.4575
1/1/2001,1.4668
2/1/2001,1.47075
3/1/2001,1.42325
4/1/2001,1.5568
5/1/2001,1.689
6/1/2001,1.58575
7/1/2001,1.3814
8/1/2001,1.422
9/1/2001,1.5385
10/1/2001,1.312
11/1/2001,1.17725
12/1/2001,1.1112
1/1/2002,1.1335
2/1/2002,1.12925
3/1/2002,1.25875
4/1/2002,1.4018
5/1/2002,1.3935
6/1/2002,1.38025
7/1/2002,1.4024
8/1/2002,1.39775
9/1/2002,1.4028
10/1/2002,1.46625
11/1/2002,1.42425
12/1/2002,1.3892
1/1/2003,1.46425
2/1/2003,1.6215
3/1/2003,1.675
4/1/2003,1.557
5/1/2003,1.477
6/1/2003,1.489
7/1/2003,1.5185
8/1/2003,1.62525
9/1/2003,1.654
10/1/2003,1.551
11/1/2003,1.51225
12/1/2003,1.4882
1/1/2004,1.595
2/1/2004,1.65425
3/1/2004,1.7276
4/1/2004,1.794
5/1/2004,1.9812
6/1/2004,1.95025
7/1/2004,1.90225
8/1/2004,1.8804
9/1/2004,1.8795
10/1/2004,1.99325
11/1/2004,1.9732
12/1/2004,1.8425
1/1/2005,1.852
2/1/2005,1.9265
3/1/2005,2.10175
4/1/2005,2.2505
5/1/2005,2.1552
6/1/2005,2.162
7/1/2005,2.28675
8/1/2005,2.489
9/1/2005,2.90675
10/1/2005,2.7362
11/1/2005,2.26525
12/1/2005,2.2155
1/1/2006,2.3432
